Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-04-22 20:45 (-07),Live,Robin Arzon,20,Cycling,Music,20 min 90s Ride,2022-04-22 14:28 (-07),138,115,40%,84,17.02,5.67,187,,,
2023-08-31 14:11 (-07),On Demand,Jess King,30,Cycling,Low Impact,30 min Sweat Steady: Low Impact Ride,2023-08-31 06:00 (-07),198,110,37%,84,16.48,8.24,350,130.00,,
2023-08-31 14:43 (-07),On Demand,Jess King,10,Cycling,Low Impact,Extra 10: Low Impact Ride,2023-05-15 07:00 (-07),49,82,33%,85,14.84,2.47,117,131.00,,
2023-08-31 14:53 (-07),On Demand,Jess King,5,Cycling,Cool Down,5 min Cool Down Ride,2023-04-26 08:00 (-07),18,59,29%,82,12.68,1.06,52,125.00,,
2023-09-01 09:24 (-07),On Demand,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2023-04-29 12:25 (-07),426,118,36%,89,17.33,17.33,861,148.00,,
2023-09-01 10:25 (-07),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2023-09-01 01:00 (-07),13,43,21%,82,10.94,0.91,52,124.00,,
2023-09-02 13:52 (-07),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Rock Ride,2023-08-30 01:00 (-07),215,120,34%,92,17.20,8.60,414,144.00,,
2023-09-03 09:44 (-07),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-07-08 04:54 (-07),273,101,36%,81,16.15,12.11,501,127.00,,
2023-09-03 10:30 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 09:00 (-07),12,39,22%,78,10.65,0.88,40,108.00,,
2023-09-04 13:40 (-07),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-08-12 04:55 (-07),319,118,38%,81,17.16,12.87,558,135.00,,
2023-09-04 14:26 (-07),On Demand,Robin Arzon,10,Cycling,Cool Down,10 min Madonna Cool Down Ride,2023-06-20 01:00 (-07),56,93,36%,78,15.71,2.62,114,129.00,,
2023-09-05 10:54 (-07),On Demand,Christine D'Ercole,60,Cycling,Power Zone,60 min Power Zone Endurance 80s Ride,2022-07-24 10:26 (-07),426,118,39%,79,17.31,17.31,740,135.00,,
2023-09-05 11:55 (-07),On Demand,Robin Arzon,10,Cycling,Cool Down,10 min Madonna Cool Down Ride,2023-06-20 01:00 (-07),53,89,35%,80,15.37,2.56,120,133.00,,
2023-09-06 10:25 (-07),Live,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance,2023-06-20 14:24 (-07),323,120,40%,76,17.34,13.00,532,131.00,,
2023-09-06 11:10 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 09:00 (-07),15,51,25%,81,11.99,0.99,47,118.00,,
2023-09-07 08:58 (-07),On Demand,Christine D'Ercole,60,Cycling,Power Zone,60 min Power Zone Endurance 80s Ride,2021-11-28 11:24 (-07),415,115,40%,76,17.09,17.09,677,128.00,,
2023-09-07 10:00 (-07),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2023-07-20 23:00 (-07),55,92,36%,77,15.62,2.60,107,124.00,,
2023-09-08 18:08 (-07),On Demand,Sam Yo,30,Cycling,Power Zone,30 min Power Zone Endurance 90s Ride,2023-09-05 23:00 (-07),214,119,48%,61,17.30,8.65,339,129.00,,
2023-09-09 16:16 (-07),On Demand,Sam Yo,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-07-25 22:54 (-07),324,120,50%,58,17.43,13.08,517,130.00,,
2023-09-11 09:43 (-07),On Demand,Ben Alldis,60,Cycling,Music,60 min 2010s Ride,2020-07-01 05:52 (-07),509,141,43%,78,18.49,18.49,920,154.00,,
2023-09-12 16:06 (-07),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance EDM Ride,2023-04-25 23:00 (-07),324,120,42%,72,17.38,13.04,523,130.00,,
2023-09-13 13:12 (-07),On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,2022-02-05 05:25 (-07),562,125,48%,68,17.71,22.14,887,132.00,,
2023-09-14 10:48 (-07),On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,2023-08-05 04:26 (-07),492,109,41%,79,16.78,20.97,888,132.00,,
2023-09-15 09:58 (-07),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2023-08-24 04:23 (-07),192,107,38%,86,16.63,8.31,350,131.00,,
2023-09-15 10:31 (-07),Live,Bradley Rose,20,Cycling,Music,20 min EDM Ride,2023-04-08 04:25 (-07),191,159,47%,82,19.43,6.47,316,157.00,,
2023-09-15 10:51 (-07),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2023-06-29 23:00 (-07),22,74,35%,77,14.11,1.17,61,136.00,,
2023-09-16 17:58 (-07),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-09-12 14:23 (-07),325,121,39%,79,17.45,13.09,544,133.00,,
2023-09-17 18:07 (-07),On Demand,Kendall Toole,45,Cycling,Music,45 min Classic Rock Ride,2023-06-11 04:57 (-07),381,141,42%,76,18.36,13.77,630,145.00,,
2023-09-18 10:40 (-07),On Demand,Hannah Frankson,60,Cycling,Music,60 min EDM Ride,2022-05-01 02:25 (-07),530,147,43%,76,18.74,18.74,811,143.00,,
2023-09-18 11:40 (-07),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2022-07-16 00:30 (-07),32,106,34%,86,16.33,1.36,64,140.00,,
2023-09-19 11:16 (-07),On Demand,Jenn Sherman,60,Cycling,Music,60 min Rock Ride,2022-03-27 06:22 (-07),534,148,43%,78,18.93,18.93,850,147.00,,
2023-09-19 12:17 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Whitney Houston Cool Down Ride,2022-12-21 01:37 (-07),32,103,37%,76,15.80,1.36,66,142.00,,
2023-09-20 12:38 (-07),On Demand,Hannah Corbin,60,Cycling,Music,60 min Rock Ride,2021-02-21 11:22 (-07),530,147,44%,75,18.82,18.82,790,140.00,,
2023-09-20 13:39 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-06-21 08:00 (-07),27,91,34%,78,15.38,1.29,58,132.00,,
2023-09-21 08:42 (-07),On Demand,Denis Morton,30,Cycling,Music,30 min Rock Ride,2023-09-16 06:55 (-07),249,139,40%,81,18.20,9.10,435,149.00,,
2023-09-22 14:34 (-07),On Demand,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Ride,2023-01-26 11:55 (-07),435,121,41%,74,17.29,17.29,724,133.00,,
2023-09-23 13:20 (-07),Live,Emma Lovewell,45,Cycling,Groove,45 min Groove Ride,2023-09-13 14:26 (-07),391,145,43%,77,18.66,14.00,703,156.00,,
2023-09-24 12:18 (-07),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-03-05 05:51 (-07),441,123,39%,81,17.54,17.54,786,140.00,,
2023-09-25 08:06 (-07),On Demand,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-11-19 05:55 (-07),449,125,37%,86,17.69,17.69,774,139.00,,
2023-09-26 07:56 (-07),On Demand,Sam Yo,60,Cycling,Music,60 min Rock Ride,2021-04-17 05:25 (-07),555,154,44%,78,19.25,19.25,834,145.00,,
2023-09-27 08:04 (-07),On Demand,Emma Lovewell,60,Cycling,Music,60 min 2000s Ride,2021-03-07 11:24 (-07),557,155,45%,77,19.16,19.16,899,152.00,,
2023-09-28 08:11 (-07),On Demand,Denis Morton,30,Cycling,Music,30 min Rock Ride,2023-08-11 13:54 (-07),277,154,42%,84,19.16,9.59,463,154.00,,
2023-09-29 09:20 (-07),On Demand,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Ride,2023-05-27 12:25 (-07),475,132,42%,75,17.90,17.90,789,140.00,,
2023-09-29 10:21 (-07),On Demand,Denis Morton,5,Cycling,Cool Down,5 min Cool Down Ride,2023-09-29 08:00 (-07),37,125,36%,87,17.48,1.45,63,140.00,,
2023-09-29 10:28 (-07),Live,Bradley Rose,20,Cycling,Music,20 min 90s Rock Ride,2023-09-29 10:25 (-07),198,165,46%,79,19.73,6.58,324,160.00,,
2023-09-30 12:36 (-07),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2023-05-06 04:55 (-07),469,130,40%,79,17.83,17.85,808,142.00,,
2023-10-01 08:22 (-07),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2023-09-30 04:55 (-07),461,128,40%,79,17.89,17.89,721,133.00,,
2023-10-02 12:37 (-07),On Demand,Emma Lovewell,45,Cycling,Music,45 min 2000s Ride,2023-09-20 14:25 (-07),447,165,42%,85,19.74,14.81,694,155.00,,
2023-10-02 13:23 (-07),On Demand,Ally Love,10,Cycling,Cool Down,10 min Cool Down Ride,2023-08-18 08:00 (-07),73,121,39%,78,17.42,2.90,136,143.00,,
2023-10-03 11:44 (-07),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2023-01-21 05:53 (-07),508,141,44%,74,18.52,18.52,759,137.00,,
2023-10-04 08:40 (-07),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2023-07-15 04:54 (-07),465,129,45%,69,17.94,17.94,767,138.00,,
2023-10-05 12:58 (-07),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2022-06-25 04:54 (-07),476,132,40%,78,17.80,17.80,747,136.00,,
2023-10-05 13:59 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-15 23:00 (-07),31,103,37%,77,16.08,1.34,58,132.00,,
2023-10-06 07:29 (-07),Live,Denis Morton,20,Cycling,Intervals,20 min HIIT Ride,2023-10-06 07:25 (-07),204,170,41%,89,19.71,6.57,309,154.00,,
2023-10-08 16:05 (-07),On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,2022-04-09 04:23 (-07),613,136,40%,80,18.32,22.90,902,133.00,,
2023-10-09 08:05 (-07),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-09-24 04:55 (-07),545,151,40%,86,19.14,19.14,916,154.00,,
2023-10-10 08:42 (-07),On Demand,Ben Alldis,60,Cycling,Climb,60 min Climb Ride,2023-04-02 05:55 (-07),597,166,46%,77,19.70,19.70,952,157.00,,
2023-10-10 09:42 (-07),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-06-08 23:00 (-07),32,105,35%,82,16.27,1.37,70,148.00,,
2023-10-11 09:02 (-07),On Demand,Olivia Amato,45,Cycling,Music,45 min EDM Ride,2023-10-07 06:55 (-07),449,166,42%,85,19.76,14.81,659,150.00,,
2023-10-11 09:50 (-07),On Demand,Matt Wilpers,10,Cycling,Cool Down,10 min Cool Down Ride,2023-10-11 08:00 (-07),34,56,23%,94,12.61,2.10,109,125.00,,
2023-10-12 13:31 (-07),Live,Ben Alldis,20,Cycling,Music,20 min Classic Rock Ride,2023-09-20 23:00 (-07),232,193,45%,84,20.97,6.99,304,151.00,,
2023-10-12 13:55 (-07),Live,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance EDM Ride,2023-10-11 23:00 (-07),331,122,41%,74,17.56,13.17,559,136.00,,
2023-10-13 13:38 (-07),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min 80s Rock Ride,2023-10-11 23:00 (-07),308,171,41%,88,20.01,10.00,417,144.00,,
2023-10-13 14:11 (-07),On Demand,Bradley Rose,30,Cycling,Music,30 min Classic Rock Ride,2023-10-13 10:25 (-07),295,164,43%,83,19.68,9.83,450,152.00,,
2023-10-13 14:42 (-07),On Demand,Bradley Rose,10,Cycling,Low Impact,Extra 10: Low Impact Ride,2023-03-30 05:06 (-07),45,75,32%,77,14.32,2.39,107,125.00,,
2023-10-14 17:04 (-07),On Demand,Matt Wilpers,30,Cycling,Music,30 min Classic Rock Ride,2023-10-05 04:25 (-07),236,131,37%,90,17.96,8.98,377,136.00,,
2023-10-14 17:34 (-07),On Demand,Sam Yo,30,Cycling,Music,30 min 90s Rock Ride,2023-10-10 22:55 (-07),311,173,47%,77,20.07,10.04,438,150.00,,
2023-10-15 13:31 (-07),Live,Ben Alldis,30,Cycling,Music,30 min Dance Music Ride,2022-12-10 04:25 (-07),324,180,46%,81,20.42,10.21,440,149.00,,
2023-10-15 14:03 (-07),On Demand,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-07-02 12:25 (-07),356,132,44%,71,18.10,13.57,546,134.00,,
2023-10-16 08:47 (-07),On Demand,Matt Wilpers,10,Cycling,Warm Up,10 min Warm Up Ride,2023-10-10 08:00 (-07),88,147,39%,88,18.88,3.15,124,133.00,,
2023-10-16 08:57 (-07),Live,Kendall Toole,30,Cycling,Music,30 min 2000s Ride,2023-10-16 08:55 (-07),325,180,45%,83,20.47,10.24,457,154.00,,
2023-10-16 09:32 (-07),On Demand,Hannah Frankson,30,Cycling,Low Impact,30 min Low Impact Ride,2023-10-04 23:00 (-07),212,118,39%,79,17.23,8.62,376,136.00,,
2023-10-17 08:48 (-07),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2023-09-11 12:25 (-07),334,186,48%,77,20.64,10.32,449,151.00,,
2023-10-17 09:19 (-07),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Endurance 90s Ride,2023-09-25 10:25 (-07),192,107,37%,79,16.61,8.30,364,134.00,,
2023-10-18 05:46 (-07),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Endurance Classic Rock,2023-09-06 09:00 (-07),214,119,40%,74,17.27,8.63,321,124.00,,
2023-10-19 09:29 (-04),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min Classic Rock Ride,2023-09-26 13:25 (-04),333,185,48%,84,20.62,10.31,422,146.70,,
2023-10-20 11:44 (-04),On Demand,Denis Morton,30,Cycling,Music,30 min Rock Ride,2023-10-17 17:24 (-04),288,160,46%,82,19.33,9.67,382,138.37,,
2023-10-20 12:15 (-04),On Demand,Denis Morton,20,Cycling,Music,20 min 2000s Ride,2023-10-14 10:35 (-04),181,151,42%,88,18.86,6.29,265,142.24,,
2023-10-21 10:32 (-04),On Demand,Sam Yo,30,Cycling,Power Zone,30 min Power Zone Endurance Motown Ride,2023-10-18 01:55 (-04),214,119,41%,85,17.35,8.67,313,125.52,,
2023-10-21 11:04 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 80s Rock Ride,2023-08-24 13:00 (-04),370,205,52%,80,21.49,10.75,462,155.16,,
2023-10-22 21:10 (-04),On Demand,Emma Lovewell,30,Cycling,Music,30 min Classic Rock Ride,2023-09-10 09:55 (-04),298,165,46%,84,19.66,9.83,376,137.24,,
2023-10-23 08:29 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min House Ride,2023-10-22 08:54 (-04),390,217,52%,82,21.79,10.89,465,155.80,,
2023-10-24 10:58 (-04),On Demand,Kendall Toole,20,Cycling,Climb,20 min Climb Ride,2023-10-18 21:25 (-04),216,180,48%,80,20.15,6.72,268,142.27,,
2023-10-24 11:19 (-04),On Demand,Leanne Hainsby-Alldis,20,Cycling,Intervals,20 min HIIT Ride,2023-09-25 02:25 (-04),256,213,49%,87,21.64,7.22,315,157.23,,
2023-10-24 11:40 (-04),On Demand,Hannah Frankson,20,Cycling,Music,20 min EDM Ride,2023-09-27 13:25 (-04),221,185,51%,77,20.45,6.82,295,151.18,,
2023-10-25 10:29 (-04),On Demand,Sam Yo,20,Cycling,Music,20 min 90s Rock Ride,2023-09-05 02:00 (-04),214,178,49%,80,20.28,6.76,304,154.05,,
2023-10-25 10:51 (-04),On Demand,Ben Alldis,20,Cycling,Intervals,20 min HIIT Ride,2023-08-28 14:00 (-04),204,170,47%,82,19.88,6.62,329,162.06,,
2023-10-25 11:14 (-04),On Demand,Bradley Rose,20,Cycling,Music,20 min Classic Rock Ride,2023-09-01 12:00 (-04),166,139,42%,84,18.37,6.12,299,152.27,,
2023-10-26 20:22 (-07),On Demand,Ally Love,20,Cycling,Music,20 min Classic Rock Ride,2023-10-23 04:22 (-07),211,176,46%,79,20.09,6.70,274,144.00,,
2023-10-27 08:02 (-07),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-04-02 04:51 (-07),538,150,44%,76,18.98,18.98,805,142.00,,
2023-10-28 21:18 (-07),On Demand,Sam Yo,30,Cycling,Climb,30 min Climb Ride,2023-09-12 23:00 (-07),288,160,46%,73,19.16,9.58,399,140.00,,
2023-10-31 13:48 (-07),On Demand,Hannah Frankson,20,Cycling,Music,20 min 2010s Ride,2023-10-25 10:25 (-07),225,187,48%,78,20.69,6.90,293,150.00,,
2023-10-31 14:09 (-07),On Demand,Bradley Rose,20,Cycling,Music,20 min 2010s Ride,2023-08-17 04:30 (-07),202,169,44%,83,19.87,6.63,318,157.87,,
2023-10-31 14:28 (-07),Live,Denis Morton,30,Cycling,Music,30 min Classic Rock Ride,2023-10-31 14:26 (-07),299,166,45%,80,19.76,9.88,478,159.00,,
2023-11-01 13:09 (-07),On Demand,Ben Alldis,20,Cycling,Music,20 min 2010s Ride,2023-10-15 05:55 (-07),225,187,46%,82,20.77,6.93,294,151.00,,
2023-11-01 13:30 (-07),Live,Leanne Hainsby-Alldis,30,Cycling,Music,30 min Punk Rock Ride,2023-10-08 03:57 (-07),305,170,43%,86,20.02,10.01,480,159.00,,
2023-11-01 14:02 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-30 08:00 (-07),28,93,36%,76,15.50,1.30,60,135.00,,
2023-11-02 13:42 (-07),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min HIIT Ride,2023-10-31 00:25 (-07),231,192,45%,84,20.85,6.95,306,154.00,,
2023-11-02 14:03 (-07),On Demand,Hannah Frankson,20,Cycling,Music,20 min EDM Ride,2023-08-21 23:00 (-07),221,184,46%,81,20.52,6.84,333,163.00,,
2023-11-02 14:24 (-07),On Demand,Jess King,20,Cycling,Low Impact,20 min Sweat Steady: Low Impact Ride,2023-09-14 07:30 (-07),203,169,42%,87,19.98,6.66,324,160.00,,
2023-11-03 13:12 (-07),On Demand,Sam Yo,30,Cycling,Music,30 min Classic Rock Ride,2023-10-19 09:54 (-07),336,187,48%,77,20.69,10.35,440,150.00,,
2023-11-03 13:42 (-07),On Demand,Sam Yo,30,Cycling,Power Zone,30 min Power Zone Endurance Pop Ride,2023-10-31 23:55 (-07),216,120,39%,78,17.37,8.68,372,136.00,,
2023-11-04 13:43 (-07),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min Dance Music Ride,2023-09-15 09:00 (-07),347,193,46%,83,20.96,10.48,435,148.00,,
2023-11-04 14:14 (-07),On Demand,Sam Yo,30,Cycling,Music,30 min 2010s Ride,2023-08-06 03:55 (-07),292,162,44%,81,19.65,9.82,423,147.00,,
2023-11-05 13:25 (-08),On Demand,Ben Alldis,30,Cycling,Music,30 min 80s Rock Ride,2023-10-07 00:55 (-08),349,194,47%,82,21.02,10.51,446,152.00,,
2023-11-05 13:57 (-08),On Demand,Emma Lovewell,30,Cycling,Groove,30 min Groove Ride,2023-10-25 13:23 (-08),286,159,45%,78,19.41,9.70,431,148.00,,
2023-11-06 17:37 (-08),On Demand,Sam Yo,60,Cycling,Music,60 min Rock Ride,2023-11-05 00:55 (-08),613,170,45%,80,19.86,19.86,905,152.00,,
2023-11-07 17:34 (-08),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Ride,2023-09-05 13:24 (-08),275,153,43%,78,18.93,9.47,350,131.00,,
2023-11-07 18:04 (-08),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Ride,2023-09-21 03:23 (-08),241,134,41%,77,17.85,8.92,356,132.00,,
2023-11-08 17:39 (-08),On Demand,Leanne Hainsby-Alldis,20,Cycling,Music,20 min Dance Music Ride,2023-10-15 02:55 (-08),197,164,43%,82,19.64,6.55,280,146.00,,
2023-11-08 18:00 (-08),Live,Kendall Toole,30,Cycling,Intervals,30 min HIIT Ride,2023-11-08 17:56 (-08),332,185,44%,85,20.58,10.29,506,164.00,,
2023-11-09 19:00 (-08),On Demand,Ben Alldis,20,Cycling,Music,20 min 80s Rock Ride,2023-08-16 22:00 (-08),232,193,45%,84,20.97,6.99,280,144.00,,
2023-11-09 19:22 (-08),On Demand,Sam Yo,20,Cycling,Music,20 min 2000s Ride,2023-08-23 22:00 (-08),188,157,42%,83,19.24,6.42,269,142.00,,
2023-11-10 13:19 (-07),On Demand,Christine D'Ercole,20,Cycling,Climb,20 min Climb Ride,2023-09-18 07:25 (-07),200,166,48%,80,19.69,6.56,250,135.00,,
2023-11-10 13:40 (-07),On Demand,Hannah Frankson,20,Cycling,Music,20 min 2000s Ride,2023-11-07 00:24 (-07),195,163,47%,82,19.59,6.53,283,147.00,,
2023-11-10 14:02 (-07),On Demand,Sam Yo,20,Cycling,Music,20 min Classic Rock Ride,2023-08-15 23:00 (-07),199,166,49%,78,19.70,6.56,287,148.00,,
2023-11-11 14:04 (-07),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2023-09-23 04:55 (-07),358,133,43%,82,17.95,13.46,524,131.00,,
2023-11-11 14:50 (-07),On Demand,Ally Love,20,Cycling,Intervals,20 min HIIT Ride,2023-11-06 05:23 (-07),203,169,46%,84,19.59,6.53,271,143.00,,
2023-11-12 14:42 (-07),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min 80s Rock Ride,2023-09-05 04:51 (-07),306,170,45%,89,19.91,9.96,409,144.00,,
2023-11-12 15:12 (-07),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Ride,2023-10-10 14:25 (-07),237,132,46%,75,17.84,8.92,376,136.00,,
2023-11-13 20:11 (-07),On Demand,Emma Lovewell,30,Cycling,Music,30 min 2000s Ride,2023-11-10 09:25 (-07),284,158,47%,79,19.09,9.55,390,138.00,,
2023-11-13 20:42 (-07),On Demand,Leanne Hainsby-Alldis,20,Cycling,Music,20 min 90s Rock Ride,2023-09-17 23:00 (-07),194,162,45%,86,19.48,6.49,291,149.00,,
2023-11-14 20:10 (-07),On Demand,Ben Alldis,20,Cycling,Music,20 min Dance Music Ride,2023-10-01 03:00 (-07),202,168,49%,80,19.81,6.60,238,133.00,,
2024-07-18 14:28 (-07),On Demand,Ben Alldis,20,Cycling,Music,20 min 80s Rock Ride,2024-05-08 23:00 (-07),173,144,45%,81,18.50,6.16,310,154.00,,
2024-07-19 14:28 (-07),On Demand,Aditi Shah,30,Yoga,Focus Flow,30 min Focus Flow: Hips,2024-07-13 05:24 (-07),,,,,,,127,,,
2024-07-19 15:09 (-07),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Rock Ride,2024-05-07 14:25 (-07),217,121,37%,92,17.29,8.64,387,138.00,,
2024-07-19 15:39 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 09:00 (-07),12,40,25%,81,10.72,0.89,51,123.00,,
2024-07-20 07:41 (-07),On Demand,Sam Yo,20,Cycling,Music,20 min 80s Rock Ride,2024-07-01 05:25 (-07),175,146,45%,81,18.60,6.20,270,141.00,,
2024-07-20 08:01 (-07),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2023-12-08 00:00 (-07),24,79,37%,73,14.49,1.20,57,131.00,,
2024-07-21 14:47 (-07),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Endurance EDM Ride,2024-07-01 10:30 (-07),197,109,37%,86,16.67,8.33,357,133.00,,
2024-07-22 13:16 (MST),On Demand,Kirra Michel,30,Yoga,Flow,30 min New Wave Yoga Flow,2024-07-19 10:54 (MST),,,,,,,227,103.90,,
2024-07-23 13:43 (-07),On Demand,Sam Yo,45,Cycling,Power Zone,45 min Power Zone Endurance Classic Rock,2024-06-25 22:55 (-07),309,114,38%,88,17.05,12.79,632,146.00,,
2024-07-23 14:30 (-07),Live,Denis Morton,20,Cycling,Groove,20 min Groove Ride,2024-07-23 14:25 (-07),178,149,44%,84,18.86,6.29,339,164.00,,
2024-07-24 15:07 (MST),On Demand,Kirra Michel,30,Yoga,Flow,30 min Yoga Flow,2024-07-05 11:00 (MST),,,,,,,165,91.32,,
2024-07-24 15:40 (MST),On Demand,Rad Lopez,5,Strength,Core,5 min Core Strength,2024-02-28 08:00 (MST),,,,,,,34,98.69,,
2024-07-25 08:38 (MST),On Demand,Ross Rayburn,30,Yoga,Flow,30 min Yoga Flow,2024-06-21 04:24 (MST),,,,,,,127,,,
2024-07-25 09:10 (MST),On Demand,Rebecca Kennedy,5,Strength,Core,5 min Core Strength,2023-11-24 11:25 (MST),,,,,,,32,92.94,,
2024-07-26 15:05 (-07),Live,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance 90s Ride,2024-07-24 10:30 (-07),317,117,37%,89,17.24,12.93,651,149.11,,
2024-07-26 15:50 (-07),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-06-08 23:00 (-07),26,86,35%,84,15.07,1.26,67,144.00,,
2024-07-27 10:29 (-07),On Demand,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2024-05-21 14:25 (-07),412,114,38%,87,17.07,17.07,774,139.04,,
2024-07-27 11:29 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 09:00 (-07),15,50,30%,77,11.76,0.98,49,122.62,,
2024-07-27 11:41 (-07),On Demand,Anna Greenberg,20,Yoga,Focus Flow,20 min Focus Flow: Hips,2024-07-09 08:52 (-07),,,,,,,85,,,
2024-07-28 13:44 (-07),On Demand,Sam Yo,60,Cycling,Power Zone,60 min Power Zone Endurance 80s Ride,2024-05-12 01:55 (-07),422,117,36%,96,17.23,17.23,754,143.64,,
2024-07-28 14:44 (-07),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2023-12-08 00:00 (-07),19,62,34%,72,12.74,1.07,51,126.10,,
2024-07-29 10:20 (MST),On Demand,Denis Morton,30,Yoga,Flow,30 min Yoga Flow,2024-06-28 08:55 (MST),,,,,,,164,89.51,,
2024-07-30 17:03 (MST),On Demand,Chelsea Jackson Roberts,30,Yoga,Flow,30 min 2010s Yoga Flow,2024-07-29 15:22 (MST),,,,,,,224,104.42,,
2024-07-31 17:25 (-07),On Demand,Sam Yo,30,Cycling,Power Zone,30 min Power Zone 80s Rock Ride,2024-07-29 04:55 (-07),202,112,39%,82,16.66,8.33,365,134.00,,
2024-08-01 08:44 (-07),On Demand,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Classic Rock Ride,2024-07-09 14:25 (-07),430,120,40%,82,17.12,17.12,765,138.00,,
2024-08-02 08:58 (-07),On Demand,Ben Alldis,60,Cycling,Climb,60 min Climb Ride,2024-06-30 05:54 (-07),553,154,48%,78,19.05,19.05,934,155.00,,
