Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2025-01-27 10:32 (-07),On Demand,Alex Toussaint,5,Cycling,Cool Down,5 min Cool Down Ride,2023-05-12 08:00 (-07),32,109,40%,80,16.51,1.37,61,137.73,,
2025-01-27 10:38 (-07),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-09-03 21:00 (-07),,,,,,,44,114.10,,
2025-01-27 18:12 (-07),On Demand,Kristin McGee,15,Yoga,Family & Pre/Postnatal,15 min Fit Family Flow: Kids,2020-12-21 08:15 (-07),,,,,,,76,83.97,,
2025-01-28 09:01 (-07),On Demand,Denis Morton,30,Yoga,Morning,30 min Morning Yoga Flow,2025-01-24 05:28 (-07),,,,,,,174,93.24,,
2025-01-28 11:30 (-07),Live,Bradley Rose,30,Cycling,Music,30 min 80s Ride,2025-01-28 11:25 (-07),379,210,47%,95,21.75,10.87,484,159.51,,
2025-01-28 12:01 (-07),On Demand,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2025-01-12 13:55 (-07),425,157,46%,82,19.38,14.53,636,146.64,,
2025-01-28 12:47 (-07),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2022-07-16 00:30 (-07),28,93,34%,91,15.72,1.28,54,126.68,,
2025-01-28 12:52 (-07),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-12-31 22:00 (-07),,,,,,,36,103.65,,
2025-01-29 10:32 (-07),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2025-01-18 04:55 (-07),913,169,47%,83,19.98,29.97,1182,140.12,,
2025-01-29 12:03 (-07),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2024-04-17 08:00 (-07),17,58,27%,97,12.74,1.06,45,115.89,,
2025-01-29 12:08 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,34,99.96,,
2025-01-30 09:10 (MST),On Demand,Rebecca Kennedy,60,Walking,Power Walk,60 min Power Walk,2025-01-28 22:00 (MST),0,,,,4.23,4.24,602,119.99,,
2025-01-30 11:45 (MST),On Demand,Denis Morton,30,Yoga,Focus Flow,30 min Focus Flow: For Riders,2025-01-25 11:26 (MST),,,,,,,191,96.12,,
2025-01-31 06:00 (-07),Live,Hannah Frankson,30,Cycling,Music,30 min Disco Ride,2025-01-31 05:54 (-07),375,209,54%,80,21.65,10.82,458,153.83,,
2025-01-31 06:31 (-07),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2022-07-16 00:30 (-07),26,87,34%,90,15.24,1.26,62,137.94,,
2025-01-31 06:36 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,43,111.39,,
2025-02-01 08:27 (-07),On Demand,Ben Alldis,30,Cycling,Music,30 min 80s Rock Ride,2025-01-28 22:00 (-07),346,192,52%,81,20.85,10.42,446,151.80,,
2025-02-01 08:57 (-07),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-06-08 23:00 (-07),35,117,40%,87,17.24,1.43,62,136.43,,
2025-02-01 09:03 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,41,110.63,,
2025-02-01 16:08 (MST),,,76,Walking,,76 min 12 sec Outdoor Walking,,0,,,,2.45,3.06,368,77.00,,
2025-02-01 22:44 (MST),On Demand,Kirra Michel,10,Meditation,Daily Meditation,10 min Daily Meditation,2025-01-26 22:00 (MST),,,,,,,,68.97,,
2025-02-02 09:05 (-07),Live,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2025-02-01 05:56 (-07),507,141,39%,97,18.62,18.61,738,134.90,,
2025-02-02 10:05 (-07),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2024-04-17 08:00 (-07),17,56,27%,95,12.56,1.04,42,112.05,,
2025-02-02 10:10 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,29,93.49,,
2025-02-02 16:41 (MST),,,60,Walking,,60 min 51 sec Outdoor Walking,,0,,,,2.58,2.47,348,94.48,,
2025-02-02 22:37 (MST),On Demand,Kirra Michel,30,Meditation,Sleep,30 min Sleep Meditation,2025-01-18 23:00 (MST),,,,,,,,71.89,,
